127.0.0.1 - - [01/Dec/2023:23:11:39 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:11:40 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:11:40 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:11:48 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:11:49 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:11:59 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:12:42 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:11 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:28 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:44 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:45 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:45 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:46 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:46 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:46 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:46 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:47 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:47 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:47 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:47 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:48 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:48 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:18:48 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1780
